1,Bretiliu Clopidogrel,Bicicleta
3,Andrei Balasoiu,Bicicleta
4,Dragomir Alexandru,Masina
6,Bretiliu Clopidogrel,Bicicleta
7,Vladimir Popescu,Motocicleta
8,Andrei Balasoiu,Bicicleta
9,Dragomir Alexandru,Masina
11,Bretiliu Clopidogrel,Bicicleta
12,Vladimir Popescu,Motocicleta
13,Andrei Balasoiu,Bicicleta
14,Dragomir Alexandru,Masina
16,Bretiliu Clopidogrel,Bicicleta
17,Vladimir Popescu,Motocicleta
18,Andrei Balasoiu,Bicicleta
19,Dragomir Alexandru,Masina
21,Bretiliu Clopidogrel,Bicicleta
22,Vladimir Popescu,Motocicleta
23,Andrei Balasoiu,Bicicleta
24,Dragomir Alexandru,Masina
26,Bretiliu Clopidogrel,Bicicleta
27,Vladimir Popescu,Motocicleta
28,Andrei Balasoiu,Bicicleta
29,Dragomir Alexandru,Masina
31,Bretiliu Clopidogrel,Bicicleta
32,Vladimir Popescu,Motocicleta
33,Andrei Balasoiu,Bicicleta
34,Dragomir Alexandru,Masina
36,Bretiliu Clopidogrel,Bicicleta
37,Vladimir Popescu,Motocicleta
38,Andrei Balasoiu,Bicicleta
39,Dragomir Alexandru,Masina
